COMPONENTS,PRICE,LINK
ESP32-DEVKITC-WROOM32,"5,92 €",https://pt.aliexpress.com/item/1005006023774611.html?src=google&src=google&albch=shopping&acnt=615-992-9880&isdl=y&slnk=&plac=&mtctp=&albbt=Google_7_shopping&aff_platform=google&aff_short_key=_oFgTQeV&gclsrc=aw.ds&albagn=888888&ds_e_adid=&ds_e_matchtype=&ds_e_device=c&ds_e_network=x&ds_e_product_group_id=&ds_e_product_id=pt1005006023774611&ds_e_product_merchant_id=5073676166&ds_e_product_country=PT&ds_e_product_language=pt&ds_e_product_channel=online&ds_e_product_store_id=&ds_url_v=2&albcp=22568097293&albag=&isSmbAutoCall=false&needSmbHouyi=false&gad_source=1&gad_campaignid=22561749573&gbraid=0AAAAA_TvRHqpnSWuEirocJaqUYkIsZuzy&gclid=CjwKCAjwzLHPBhBTEiwABaLsSsjxLVyoTSSlPppgvaKJIB33yOTghrSOWZG_c3ZNM62s_s8C8iSXBRoCSyMQAvD_BwE
MAX98570M,"1,37 €",https://pt.aliexpress.com/item/1005008859311093.html?src=google&src=google&albch=shopping&acnt=615-992-9880&isdl=y&slnk=&plac=&mtctp=&albbt=Google_7_shopping&aff_platform=google&aff_short_key=_oFgTQeV&gclsrc=aw.ds&albagn=888888&ds_e_adid=&ds_e_matchtype=&ds_e_device=c&ds_e_network=x&ds_e_product_group_id=&ds_e_product_id=pt1005008859311093&ds_e_product_merchant_id=107692768&ds_e_product_country=PT&ds_e_product_language=pt&ds_e_product_channel=online&ds_e_product_store_id=&ds_url_v=2&albcp=22568097293&albag=&isSmbAutoCall=false&needSmbHouyi=false&gad_source=1&gad_campaignid=22561749573&gbraid=0AAAAA_TvRHqpnSWuEirocJaqUYkIsZuzy&gclid=CjwKCAjwzLHPBhBTEiwABaLsSuV0ALxcGDOGnbrEzb2yUuo8-qj6JiLS7xG8SnEOfaQnNAfGDjUYcBoCJRMQAvD_BwE
RDA5807,"0,37 €",https://pt.aliexpress.com/item/1005003056878475.html?src=google&src=google&albch=shopping&acnt=615-992-9880&isdl=y&slnk=&plac=&mtctp=&albbt=Google_7_shopping&aff_platform=google&aff_short_key=_oFgTQeV&gclsrc=aw.ds&albagn=888888&ds_e_adid=&ds_e_matchtype=&ds_e_device=c&ds_e_network=x&ds_e_product_group_id=&ds_e_product_id=pt1005003056878475&ds_e_product_merchant_id=109036335&ds_e_product_country=PT&ds_e_product_language=pt&ds_e_product_channel=online&ds_e_product_store_id=&ds_url_v=2&albcp=22568097293&albag=&isSmbAutoCall=false&needSmbHouyi=false&gad_source=1&gad_campaignid=22561749573&gbraid=0AAAAA_TvRHqpnSWuEirocJaqUYkIsZuzy&gclid=CjwKCAjwzLHPBhBTEiwABaLsSjl4tsn1Rx8P5V_GTJ0HmbkXYu_nRH566D-xht6MbIfgzFnaeS5dURoC2sgQAvD_BwE
TDA7052,"0,37 €",https://pt.aliexpress.com/item/1005010222908519.html?gad_source=1&gad_campaignid=23763605962&gbraid=0AAAABAZQkq8V66N_PHrw3foFtyD6poptK&gclid=CjwKCAjwzLHPBhBTEiwABaLsSoQCox2h1GdwUgN69dkSbps7YkBGCf-sqFpXQ4leM18oqc-30bwFzRoCTiIQAvD_BwE&aff_fcid=424f777cef844011a0b857f2c3d19bf1-1777134611180-05251-_c4BCfoAn&aff_fsk=_c4BCfoAn&aff_platform=api-new-link-generate&sk=_c4BCfoAn&aff_trace_key=424f777cef844011a0b857f2c3d19bf1-1777134611180-05251-_c4BCfoAn&terminal_id=f468309c870c480f8b30509dadec6ccf&gatewayAdapt=glo2bra
BLCOK TERMINAL CONECTOR (3),"2,10 €",https://mauser.pt/011-3857/bloco-de-2-terminais-com-parafuso-1-5mm-5-00mm-para-pcb-verde
5k pot,"0,78 €",https://mauser.pt/005-0056/potenciometro-linear-b-mono-metalico-com-veio-125mw-5kr
sma female conector for antena,"0,87 €",https://pt.aliexpress.com/item/10000000835065.html?spm=a2g0o.detail.pcDetailTopMoreOtherSeller.2.37datCvQtCvQ1Y&gps-id=pcDetailTopMoreOtherSeller&scm=1007.40050.354490.0&scm_id=1007.40050.354490.0&scm-url=1007.40050.354490.0&pvid=a67a2baa-76c3-4551-a9d9-9193763a8d1e&_t=gps-id%3ApcDetailTopMoreOtherSeller%2Cscm-url%3A1007.40050.354490.0%2Cpvid%3Aa67a2baa-76c3-4551-a9d9-9193763a8d1e%2Ctpp_buckets%3A668%232846%238115%232000&pdp_ext_f=%7B%22order%22%3A%221652%22%2C%22spu_best_type%22%3A%22price%22%2C%22eval%22%3A%221%22%2C%22sceneId%22%3A%2230050%22%2C%22fromPage%22%3A%22recommend%22%7D&pdp_npi=6%40dis%21EUR%211.73%210.87%21%21%211.98%211.00%21%40210384b217772035540742938e7569%2112000046134403322%21rec%21PT%21%21ABX%211%210%21n_tag%3A-29910%3Bd%3Ad16d0d96%3Bm03_new_user%3A-29895%3BpisId%3A5000000203264415&utparam-url=scene%3ApcDetailTopMoreOtherSeller%7Cquery_from%3A%7Cx_object_id%3A10000000835065%7C_p_origin_prod%3A
18650 battery,"0,87 €",https://pt.aliexpress.com/item/1005008772657403.html?spm=a2g0o.productlist.main.6.28ed184fAHNttb&algo_pvid=4b0e8d6d-7e55-4bff-b239-de7c0878acb3&algo_exp_id=4b0e8d6d-7e55-4bff-b239-de7c0878acb3-5&pdp_ext_f=%7B%22order%22%3A%223261%22%2C%22spu_best_type%22%3A%22price%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21EUR%2115.31%210.87%21%21%21119.42%216.75%21%40210384b217772202476582784e75a5%2112000046612536359%21sea%21PT%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3Ad16d0d96%3Bm03_new_user%3A-29895%3BpisId%3A5000000203264477&curPageLogUid=rAXO0kkDBq4c&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005008772657403%7C_p_origin_prod%3A
battery charger,"2,89 €",https://pt.aliexpress.com/item/1005005380679089.html?src=google&src=google&albch=shopping&acnt=615-992-9880&isdl=y&slnk=&plac=&mtctp=&albbt=Google_7_shopping&aff_platform=google&aff_short_key=_oFgTQeV&gclsrc=aw.ds&albagn=888888&ds_e_adid=&ds_e_matchtype=&ds_e_device=c&ds_e_network=x&ds_e_product_group_id=&ds_e_product_id=pt1005005380679089&ds_e_product_merchant_id=729369499&ds_e_product_country=PT&ds_e_product_language=pt&ds_e_product_channel=online&ds_e_product_store_id=&ds_url_v=2&albcp=22824536080&albag=&isSmbAutoCall=false&needSmbHouyi=false&gad_source=1&gad_campaignid=22814825439&gbraid=0AAAAA_TvRHo2NS2oySIwBWg4JadkKJYr7&gclid=Cj0KCQjw77bPBhC_ARIsAGAjjV-Ec50iQxTbuBeTr6eDGSyxS4_EPXY3ZEYWC4nadallgi6g7jeTwScaAs3jEALw_wcB
Sp3t switch ,"2,21 €",https://pt.aliexpress.com/item/1005009075990884.html?src=google&src=google&albch=shopping&acnt=615-992-9880&isdl=y&slnk=&plac=&mtctp=&albbt=Google_7_shopping&aff_platform=google&aff_short_key=_oFgTQeV&gclsrc=aw.ds&albagn=888888&ds_e_adid=&ds_e_matchtype=&ds_e_device=c&ds_e_network=x&ds_e_product_group_id=&ds_e_product_id=pt1005009075990884&ds_e_product_merchant_id=5538517018&ds_e_product_country=PT&ds_e_product_language=pt&ds_e_product_channel=online&ds_e_product_store_id=&ds_url_v=2&albcp=22568097293&albag=&isSmbAutoCall=false&needSmbHouyi=false&gad_source=1&gad_campaignid=22561749573&gbraid=0AAAAA_TvRHoHWy-qLvDCA31DaTgMFs5GC&gclid=Cj0KCQjw77bPBhC_ARIsAGAjjV-u8ycNWV7teAUe-Gg9Qkis6gyRxBVsZ5AHE-H5dR1f32ZastRU7t8aArQxEALw_wcB
1uF cap ,"0,10 €",https://mauser.pt/004-0946/condensador-ceramico-1uf-50v
SMA antena,"0,87 €",https://pt.aliexpress.com/item/1005006478589227.html?spm=a2g0o.productlist.main.3.64b8jFJ9jFJ9rG&algo_pvid=9d2eee09-4743-4187-b2ad-7059c8839960&algo_exp_id=9d2eee09-4743-4187-b2ad-7059c8839960-2&pdp_ext_f=%7B%22order%22%3A%22342%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21EUR%219.35%210.87%21%21%2110.68%211.00%21%4021039a5b17772217381058155ed794%2112000037349958048%21sea%21PT%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3Ad16d0d96%3Bm03_new_user%3A-29895%3BpisId%3A5000000203264469&curPageLogUid=wYeWTKDO75Lm&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005006478589227%7C_p_origin_prod%3A#nav-review
8ohm speaker ,"1,74 €",
pcb services,"1,72 €",https://cart.jlcpcb.com/pt/quote?stencilLayer=2&stencilWidth=100&stencilLength=100&stencilCounts=5&plateType=1&spm=Jlcpcb.Homepage.1010
TOTAL:,"22,18 €",
